Timestamp,Crop,AvgTemperature_C,AvgRainfall_mm,AvgHumidity_,CropSuccess,Location
2023-04,Rice,25.2,1550,85,0,Ebonyi
2023-05,Rice,27.7,1450,90,0,Sokoto
2023-01,Rice,29.5,600,65,1,Delta
2023-02,Rice,29.3,700,67,1,Jigawa
2023-03,Rice,27.4,800,70,1,Yobe
2023-04,Rice,27.7,900,75,1,Kogi
2023-05,Rice,24.9,1000,80,0,Akwa Ibom
2023-01,Rice,29.7,850,65,1,Katsina
2023-02,Rice,27.6,900,67,1,Ekiti
2023-03,Rice,27,950,70,1,Benue
2023-04,Rice,28.2,980,75,0,Ondo
2023-05,Rice,30,1000,78,0,Bayelsa
2023-01,Rice,26.2,1100,68,1,Gombe
2023-02,Rice,29,1200,70,1,Rivers
2023-03,Rice,26.2,1300,72,1,Borno
2023-04,Rice,29.2,1400,75,1,Abia
2023-05,Rice,25.6,1500,80,0,Oyo
2023-01,Maize,26.2,650,60,1,Niger
2023-02,Maize,27.6,700,62,1,Kebbi
2023-03,Maize,24.6,750,65,1,Jigawa
2023-04,Maize,25.9,800,67,0,Rivers
2023-05,Maize,28,850,70,0,Ebonyi
2023-01,Maize,27.1,1800,80,1,Jigawa
2023-02,Maize,24.2,2000,82,1,Ogun
2023-03,Maize,28.1,2200,85,1,Kano
2023-04,Maize,25.1,2500,87,1,Gombe
2023-05,Maize,29.9,2700,90,1,Taraba
2023-01,Maize,26.3,1400,75,1,Sokoto
2023-02,Maize,25.6,1500,78,1,Abia
2023-03,Maize,25.6,1600,80,1,Yobe
2023-04,Maize,26.6,1550,85,0,Edo
2023-05,Maize,25.3,1450,90,0,Rivers
2023-01,Maize,26.4,600,65,1,Ondo
2023-02,Maize,25.6,700,67,1,Oyo
2023-03,Maize,25.3,800,70,1,Ekiti
2023-04,Maize,28.9,900,75,1,Benue
2023-05,Maize,27.8,1000,80,0,Katsina
2023-01,Okra,28.9,850,65,1,Ondo
2023-02,Okra,26.8,900,67,1,Katsina
2023-03,Okra,25.3,950,70,1,Sokoto
2023-04,Okra,29.5,980,75,0,Abia
2023-05,Okra,26.4,1000,78,0,Kwara
2023-01,Okra,28.7,1100,68,1,Abia
2023-02,Okra,29.8,1200,70,1,Yobe
2023-03,Okra,25.5,1300,72,1,Kogi
2023-04,Okra,29,1400,75,1,Niger
2023-05,Okra,27.8,1500,80,0,Enugu
2023-01,Okra,25.9,650,60,1,Cross River
2023-02,Okra,29.3,700,62,1,Zamfara
2023-03,Okra,27.8,750,65,1,FCT
2023-04,Okra,28,800,67,0,Ondo
2023-05,Okra,26.5,850,70,0,Kebbi
2023-01,Okra,26.5,1800,80,1,Jigawa
2023-02,Okra,26.6,2000,82,1,Benue
2023-03,Okra,24,2200,85,1,Zamfara
2023-04,Okra,27.6,2500,87,1,Ogun
2023-05,Okra,24.8,2700,90,1,Anambra
2023-01,Yam,24.8,1400,75,1,Yobe
2023-02,Yam,26.3,1500,78,1,Adamawa
2023-03,Yam,25.7,1600,80,1,Bauchi
2023-04,Yam,28.2,1550,85,0,Jigawa
2023-05,Yam,29.6,1450,90,0,Kebbi
2023-01,Yam,28.1,600,65,1,Cross River
2023-02,Yam,24.5,700,67,1,Bauchi
2023-03,Yam,27,800,70,1,Cross River
2023-04,Yam,24,900,75,1,Ogun
2023-05,Yam,24.2,1000,80,0,FCT
2023-01,Yam,24.4,850,65,1,Delta
2023-02,Yam,26.6,900,67,1,Kano
2023-03,Yam,28.8,950,70,1,Anambra
2023-04,Yam,29.7,980,75,0,Nasarawa
2023-05,Yam,28.6,1000,78,0,Kogi
2023-01,Yam,25.7,1100,68,1,Kano
2023-02,Yam,28.1,1200,70,1,Niger
2023-03,Yam,29,1300,72,1,Zamfara
2023-04,Yam,27,1400,75,1,Lagos
2023-05,Yam,28.2,1500,80,0,Ogun
2023-01,Cotton,25.7,650,60,1,Imo
2023-02,Cotton,24.5,700,62,1,Kano
2023-03,Cotton,27.5,750,65,1,Osun
2023-04,Cotton,29.3,800,67,0,Lagos
2023-05,Cotton,25,850,70,0,Rivers
2023-01,Cotton,26.3,1800,80,1,Niger
2023-02,Cotton,25.4,2000,82,1,Abia
2023-03,Cotton,25.6,2200,85,1,Kwara
2023-04,Cotton,25.8,2500,87,1,Taraba
2023-05,Cotton,29.8,2700,90,1,Plateau
2023-01,Cotton,27.1,1400,75,1,Akwa Ibom
2023-02,Cotton,24.9,1500,78,1,Enugu
2023-03,Cotton,25.2,1600,80,1,Oyo
2023-04,Cotton,27.5,1550,85,0,Osun
2023-05,Cotton,29.2,1450,90,0,Akwa Ibom
2023-01,Cotton,24.7,600,65,1,Katsina
2023-02,Cotton,25.4,700,67,1,Gombe
2023-03,Cotton,25,800,70,1,Kwara
2023-04,Cotton,26.1,900,75,1,Bayelsa
2023-05,Cotton,26.7,1000,80,0,Adamawa
2023-01,Cocoa,28.7,850,65,1,Lagos
2023-02,Cocoa,24.3,900,67,1,Katsina
2023-03,Cocoa,30,950,70,1,Kaduna
2023-04,Cocoa,26,980,75,0,Akwa Ibom
2023-05,Cocoa,28.3,1000,78,0,Taraba
2023-01,Cocoa,29.2,1100,68,1,Edo
2023-02,Cocoa,26.2,1200,70,1,Sokoto
2023-03,Cocoa,30,1300,72,1,Enugu
2023-04,Cocoa,28.5,1400,75,1,Imo
2023-05,Cocoa,28.6,1500,80,0,Delta
2023-01,Cocoa,25.3,650,60,1,Edo
2023-02,Cocoa,27,700,62,1,Borno
2023-03,Cocoa,26.5,750,65,1,Benue
2023-04,Cocoa,26.9,800,67,0,Abia
2023-05,Cocoa,27.5,850,70,0,Lagos
2023-01,Cocoa,25.3,1800,80,1,Imo
2023-02,Cocoa,26,2000,82,1,Abia
2023-03,Cocoa,28,2200,85,1,Sokoto
2023-04,Cocoa,29.8,2500,87,1,Cross River
2023-05,Cocoa,24.4,2700,90,1,Plateau
